gurobi_obj,gurobi_time,gurobi_mip_gap,gurobi_agent_ub,gurobi_ind_ub,gurobi_capacity_value,gurobi_income_ub,algo_obj,algo_time,est_optimal,algo_obj_ratio_by_gurobi,algo_time_ratio_by_gurobi,algo_obj_ratio_by_est,algo_overbooking_obj,algo_overbooking_time,algo_overbooking_obj_ratio_by_gurobi,algo_overbooking_time_ratio_by_gurobi,algo_overbooking_obj_ratio_by_est,overbooking,agent_cancel,stay_mul,top_room_rate,ind_demand_mul
421329.73414405703,0.9666774900000001,0.01212695892078923,699161.158299872,78675.0,495586.63455015037,519735.0,350548.3859952692,0.0022617199999999896,426329.6956181211,0.8297772308398322,0.0023789632545122763,0.8198018519659866,398392.0428127424,0.0015570200000001304,0.9418522581485238,0.0016201712054902777,0.9302190802401705,0,0,0.75,0,0.5
364003.2361058953,0.9347436199999999,0.01440165549072625,823318.0859986714,78675.0,576275.6758368814,519735.0,305502.8641653219,0.0015303199999999197,369240.8738261045,0.8490321185026737,0.0016305122150906445,0.8361796898307311,366010.93307268457,0.0015857299999998,1.0097383819182506,0.0016976548766003672,0.9942684497054739,0,0,0.75,1,0.5
454015.83047237963,0.9758148999999996,0.008571864311496803,699161.158299872,157350.0,504652.72381286864,535470.0,402680.7979128758,0.0017466999999999101,457963.65062130877,0.88781144097642,0.0018010328640063397,0.8805019591930634,428303.7338340565,0.0016183400000001201,0.9406376879926412,0.0016624436500662764,0.9321791179167498,0,0,0.75,0,1
405610.9676227711,0.9091922000000018,0.015648282991253613,823318.0859986714,157350.0,579029.0573403129,535470.0,378192.8483894342,0.0015508799999999299,411973.5847299128,0.9383896671801649,0.001702024348034762,0.9229456520397881,400327.5183026297,0.0014820899999999702,0.9899514845919939,0.0016277661991362402,0.9739090036639475,0,0,0.75,1,1
479057.81536218524,0.9409615299999998,0.009973810426805483,699161.158299872,236025.0,512409.841080587,551205.0,456812.3996218527,0.00154713999999991,483895.59532307816,0.953653522678413,0.0016412969248343142,0.9442008845816598,467897.46349451767,0.0017072700000002102,0.9774735891188697,0.001811904151651244,0.9671602008896543,0,0,0.75,0,1.5
443109.093737287,0.9125285200000001,0.0075264508880817,823318.0859986714,236025.0,581393.474781722,551205.0,420566.1976088701,0.00138842999999985,446283.9953042025,0.9511149388767672,0.0015209933787841572,0.9435518127964864,428825.9428070098,0.00157019999999987,0.9689090196436607,0.0017129325514812087,0.961232999753882,0,0,0.75,1,1.5
350804.419998248,0.9507351599999986,0.01131043920125207,562738.3656479002,78675.0,498106.5327402059,519735.0,297007.6386092928,0.00190871999999986,354593.6590313382,0.8419362510862081,0.002016949627822297,0.8329161236487286,332301.6473899086,0.0014485500000000703,0.9482662329489806,0.0015252149544260443,0.9371693678419165,0,1,0.75,0,0.5
308733.67140576587,0.9503012800000021,0.00754368417970955,661128.7423871749,78675.0,577658.9173790835,519735.0,275195.4048387193,0.00148076,311095.3616349834,0.8964604958270967,0.001547431808595822,0.8894596143104214,295057.2623952913,0.00165995999999988,0.9579255995195911,0.0017458923690251923,0.9504389805508009,0,1,0.75,1,0.5
384011.16783639014,0.9570111399999959,0.012400204120059143,562738.3656479002,157350.0,508767.4802812838,535470.0,348018.90119198,0.0016853999999998104,388857.29561319534,0.9052387842140828,0.0017714513347419608,0.8948041306098371,363323.78193429916,0.0016093199999997997,0.9428453986221562,0.0016881844342901187,0.930427779283751,0,1,0.75,0,1
352443.2763512958,0.9543986499999988,0.00931709305537463,661128.7423871749,157350.0,580851.1980682731,535470.0,332843.1463612155,0.0015432799999997799,355766.1783287904,0.9478822627232486,0.0016062510467316673,0.9392311825730294,335859.84386498644,0.0017280400000001899,0.9563116873802056,0.0018051908422067498,0.947051158666928,0,1,0.75,1,1
410535.42108008347,0.9538236699999956,0.010658395280169678,562738.3656479002,236025.0,517605.74563547317,551205.0,399629.8456594136,0.0015138499999999401,414762.1917296407,0.9733953327187235,0.001580740561514716,0.9628533162270557,402618.0510978994,0.00161895000000043,0.9799793632680641,0.0017215151191229468,0.9696220543914664,0,1,0.75,0,1.5
388609.42577575205,0.961284710000001,0.011119965327440234,661128.7423871749,236025.0,583507.9578551969,551205.0,373477.6321991007,0.00143216999999995,392888.5516764276,0.9617140104112407,0.001478187067051562,0.9508023430463982,369761.5089562296,0.0016002400000000902,0.9529984539243891,0.0016665608670290506,0.9419167473071945,0,1,0.75,1,1.5
434220.2415428308,43.56159682,0.04608958979930551,699161.158299872,78675.0,495586.63455015037,519735.0,398392.0428127424,0.0015570200000001304,455227.6276322606,0.9119957865473781,6.966438675563265e-05,0.8699890976753846,398392.0428127424,0.0015570200000001304,0.9119957865473781,6.966438675563265e-05,0.8699890976753846,1,0,0.75,0,0.5
386985.5535666297,17.635753019999992,0.042396506457748846,823318.0859986714,78675.0,576275.6758368814,519735.0,366010.93307268457,0.0015857299999998,404350.3691127889,0.9458238159864288,0.00019236371146697315,0.9054010994423894,366010.93307268457,0.0015857299999998,0.9458238159864288,0.00019236371146697315,0.9054010994423894,1,0,0.75,1,0.5
465282.8941248941,524.6057658300001,0.04814071315835131,699161.158299872,157350.0,504652.72381286864,535470.0,428303.7338340565,0.0016183400000001201,488898.8397591837,0.9170749381116552,1.3078980657333549e-05,0.8728840255214075,428303.7338340565,0.0016183400000001201,0.9170749381116552,1.3078980657333549e-05,0.8728840255214075,1,0,0.75,0,1
422673.01160146965,161.2167055599998,0.04757558922961786,823318.0859986714,157350.0,579029.0573403129,535470.0,400327.5183026297,0.0014820899999999702,443810.8460368407,0.9480252746590201,6.146626459189556e-05,0.9029011137716363,400327.5183026297,0.0014820899999999702,0.9480252746590201,6.146626459189556e-05,0.9029011137716363,1,0,0.75,1,1
491764.20934050204,4212.01642829,0.06862583888598654,699161.158299872,236025.0,512409.841080587,551205.0,467897.46349451767,0.0017072700000002102,528622.671154516,0.9514671712102789,5.098807270195528e-06,0.885623975426103,467897.46349451767,0.0017072700000002102,0.9514671712102789,5.098807270195528e-06,0.885623975426103,1,0,0.75,0,1.5
454354.01367230044,315.97203813999874,0.04738698010172243,823318.0859986714,236025.0,581393.474781722,551205.0,428825.9428070098,0.00157019999999987,477036.4095942114,0.9439762253008567,2.7657192276155643e-05,0.8992074827690886,428825.9428070098,0.00157019999999987,0.9439762253008567,2.7657192276155643e-05,0.8992074827690886,1,0,0.75,1,1.5
368469.18210662005,778.0102022000007,0.048735309881986245,562738.3656479002,78675.0,498106.5327402059,519735.0,332301.6473899086,0.0014485500000000703,387420.6598019271,0.8997166141283124,3.1654369462199996e-06,0.8558589714872509,332301.6473899086,0.0014485500000000703,0.8997166141283124,3.1654369462199996e-06,0.8558589714872509,1,1,0.75,0,0.5
332776.00984964444,312.25470191000056,0.043254930609942385,661128.7423871749,78675.0,577658.9173790835,519735.0,295057.2623952913,0.00165995999999988,347990.5926821958,0.8862599786190282,7.6147842940216446e-06,0.8478351536261322,295057.2623952913,0.00165995999999988,0.8862599786190282,7.6147842940216446e-06,0.8478351536261322,1,1,0.75,1,0.5
400378.0091100942,5689.547617140003,0.07665210255891107,562738.3656479002,157350.0,508767.4802812838,535470.0,363323.78193429916,0.0016093199999997997,434881.0699804992,0.9040422919967469,9.577264205108706e-07,0.8332916509300041,363323.78193429916,0.0016093199999997997,0.9040422919967469,9.577264205108706e-07,0.8332916509300041,1,1,0.75,0,1
371138.11046455725,1922.6791604700034,0.05186028855113104,661128.7423871749,157350.0,580851.1980682731,535470.0,335859.84386498644,0.0017280400000001899,391642.5559162778,0.9060696137510424,3.282527136407439e-06,0.8592146137991771,335859.84386498644,0.0017280400000001899,0.9060696137510424,3.282527136407439e-06,0.8592146137991771,1,1,0.75,1,1
430116.0005756255,9839.114042829995,0.14465697070996633,562738.3656479002,236025.0,517605.74563547317,551205.0,402618.0510978994,0.00161895000000043,510141.1918420894,0.9350168883302867,2.3903701740792136e-07,0.7981861956954746,402618.0510978994,0.00161895000000043,0.9350168883302867,2.3903701740792136e-07,0.7981861956954746,1,1,0.75,0,1.5
405079.86653086625,3415.6440863099997,0.06693029253298789,661128.7423871749,236025.0,583507.9578551969,551205.0,369761.5089562296,0.0016002400000000902,435142.35424021736,0.9133499933643139,1.7831586136797306e-06,0.8517018790064388,369761.5089562296,0.0016002400000000902,0.9133499933643139,1.7831586136797306e-06,0.8517018790064388,1,1,0.75,1,1.5
